id,age,gender,region,income,married,children,car,product1,product2
ID12201,54,MALE,INNER_CITY,26707.900,YES,1,NO,YES,YES
ID12202,27,FEMALE,INNER_CITY,11604.400,YES,2,YES,YES,NO
ID12203,42,MALE,INNER_CITY,15499.900,YES,0,YES,YES,YES
ID12204,43,MALE,TOWN,33088.500,NO,0,NO,YES,YES
ID12205,64,FEMALE,INNER_CITY,34513.600,YES,1,NO,YES,NO
ID12206,43,MALE,TOWN,32395.500,YES,3,YES,YES,NO
ID12207,49,MALE,RURAL,46633.000,YES,0,YES,NO,NO
ID12208,23,MALE,INNER_CITY,13039.900,YES,0,NO,YES,NO
ID12209,23,MALE,INNER_CITY,12681.900,NO,0,NO,YES,NO
ID12210,30,FEMALE,INNER_CITY,24031.500,YES,2,YES,YES,YES
ID12211,36,MALE,TOWN,37330.500,NO,2,NO,YES,NO
ID12212,34,MALE,INNER_CITY,25333.200,YES,3,YES,NO,YES
ID12213,51,FEMALE,INNER_CITY,37094.200,YES,0,YES,YES,NO
ID12214,36,MALE,TOWN,33630.600,NO,2,YES,YES,NO
ID12215,56,MALE,INNER_CITY,43228.200,YES,1,YES,YES,NO
ID12216,54,FEMALE,INNER_CITY,47796.800,YES,0,NO,YES,NO
ID12217,56,FEMALE,TOWN,21730.300,YES,2,NO,NO,NO
ID12218,26,MALE,INNER_CITY,10044.100,YES,3,NO,YES,YES
ID12219,39,MALE,TOWN,17270.100,NO,0,YES,NO,NO
ID12220,64,FEMALE,RURAL,45765.000,YES,3,YES,YES,NO
ID12221,46,MALE,RURAL,29525.500,NO,2,NO,NO,YES
ID12222,62,FEMALE,RURAL,54863.800,YES,1,YES,YES,NO
ID12223,36,FEMALE,TOWN,20799.000,YES,1,NO,NO,YES
ID12224,35,FEMALE,RURAL,33028.300,NO,1,NO,YES,NO
ID12225,47,MALE,RURAL,45031.900,NO,3,YES,NO,NO
ID12226,47,MALE,INNER_CITY,39010.800,YES,2,NO,YES,NO
ID12227,37,FEMALE,TOWN,25257.700,YES,0,YES,YES,NO
ID12228,48,FEMALE,INNER_CITY,42603.900,YES,0,NO,YES,NO
ID12229,41,MALE,TOWN,14092.700,YES,3,YES,YES,NO
ID12230,27,FEMALE,RURAL,21350.300,NO,0,YES,YES,NO
ID12231,43,MALE,INNER_CITY,23246.400,NO,2,NO,YES,NO
ID12232,61,MALE,RURAL,41609.500,YES,3,NO,YES,YES
ID12233,52,FEMALE,SUBURBAN,16716.100,NO,2,YES,YES,NO
ID12234,64,FEMALE,SUBURBAN,36436.400,YES,0,YES,YES,NO
ID12235,66,FEMALE,TOWN,59503.800,YES,2,YES,YES,YES
ID12236,53,FEMALE,TOWN,31334.800,YES,1,YES,YES,NO
ID12237,20,FEMALE,INNER_CITY,14048.900,YES,2,YES,YES,YES
ID12238,57,FEMALE,INNER_CITY,39205.300,NO,0,NO,YES,NO
ID12239,65,FEMALE,RURAL,42173.900,YES,0,NO,YES,NO
ID12240,64,FEMALE,INNER_CITY,55263.000,NO,1,NO,YES,NO
ID12241,52,MALE,INNER_CITY,37095.200,YES,3,NO,YES,NO
ID12242,47,FEMALE,INNER_CITY,22791.400,YES,0,NO,YES,NO
ID12243,28,FEMALE,TOWN,17240.600,YES,1,YES,NO,YES
ID12244,64,MALE,TOWN,48974.800,YES,0,YES,YES,YES
ID12245,25,MALE,INNER_CITY,18923.000,YES,1,NO,YES,NO
ID12246,58,MALE,SUBURBAN,51204.200,YES,0,NO,NO,YES
ID12247,34,MALE,TOWN,20236.200,YES,2,YES,YES,NO
ID12248,20,FEMALE,INNER_CITY,18860.300,NO,2,NO,YES,NO
ID12249,63,MALE,RURAL,25732.500,YES,0,YES,NO,NO
ID12250,30,FEMALE,SUBURBAN,28240.400,YES,3,YES,YES,NO
ID12251,53,MALE,RURAL,28193.600,YES,1,YES,YES,NO
ID12252,43,MALE,TOWN,36432.800,NO,2,YES,YES,NO
ID12253,63,MALE,TOWN,54618.800,YES,2,NO,NO,YES
ID12254,33,MALE,INNER_CITY,24760.800,YES,1,NO,YES,YES
ID12255,41,MALE,RURAL,23356.100,NO,2,YES,NO,NO
ID12256,20,FEMALE,SUBURBAN,8143.750,YES,2,NO,YES,NO
ID12257,50,MALE,TOWN,26462.500,YES,0,YES,YES,NO
ID12258,24,MALE,RURAL,20467.300,YES,2,YES,YES,NO
ID12259,60,FEMALE,TOWN,21506.200,YES,0,NO,YES,NO
ID12260,44,FEMALE,TOWN,15315.300,YES,1,NO,YES,NO
ID12261,23,MALE,INNER_CITY,18875.700,YES,2,YES,YES,NO
ID12262,40,FEMALE,INNER_CITY,12977.200,YES,0,NO,NO,NO
ID12263,49,FEMALE,TOWN,20708.500,NO,3,NO,YES,NO
ID12264,21,FEMALE,TOWN,7549.380,NO,1,YES,YES,NO
ID12265,40,FEMALE,INNER_CITY,24904.000,YES,0,NO,NO,NO
ID12266,26,MALE,RURAL,24071.800,YES,1,NO,YES,YES
ID12267,20,MALE,TOWN,9589.910,NO,1,NO,YES,YES
ID12268,24,MALE,INNER_CITY,8562.860,NO,1,NO,NO,YES
